Координаты (точка),Форма сделки,"Стоимость объекта, руб. (покупки или месячной аренды)",Преференциальный режим,Тип площадки,Площадь,Формат площадки
"37.433815,55.67382",Аренда,9000,Отсутствует,Браунфилд,150,Помещение
"37.939978,55.718643",Аренда,6000,Отсутствует,Браунфилд,1000,Помещение
"37.714132,55.748072",Аренда,10000,Отсутствует,Браунфилд,200,Помещение
"37.69578,55.652471",Аренда,4500,Отсутствует,Браунфилд,50,Помещение
"37.694639,55.793303",Аренда,9000,Отсутствует,Браунфилд,200,Помещение
"37.705464,55.664852",Аренда,8000,Отсутствует,Браунфилд,30,Помещение
"37.633742,55.628871",Аренда,12000,Отсутствует,Браунфилд,2000,Помещение
"37.492877,55.610184",Аренда,11000,Отсутствует,Браунфилд,1000,Помещение
"37.72882,55.655026",Аренда,150000,Отсутствует,Браунфилд,180,Помещение
"37.746948,55.819312",Аренда,14000,Отсутствует,Браунфилд,100,Помещение
"37.724759,55.743679",Аренда,7000,Отсутствует,Браунфилд,50,Помещение
"37.614177,55.684975",Аренда,10000,Отсутствует,Браунфилд,1000,Помещение
"37.431235,55.728591",Аренда,12500,Отсутствует,Браунфилд,40,Помещение
"37.750793,55.757024",Аренда,130000,Отсутствует,Браунфилд,500,Помещение
"37.42713,55.692957",Аренда,14000,Отсутствует,Браунфилд,2000,Помещение
"37.396281,55.725169",Аренда,10000,Отсутствует,Браунфилд,250,Помещение
"37.559002,55.648931",Аренда,9000,Отсутствует,Браунфилд,1000,Помещение
"37.729242,55.789006",Аренда,7250,Отсутствует,Браунфилд,100,Помещение
"37.153907,56.008067",Аренда,14000,Особая экономическая зона,Браунфилд,1500,Помещение
"37.68659,55.640736",Аренда,10000,Отсутствует,Браунфилд,500,Помещение
"37.371705,55.635698",Аренда,14400,Отсутствует,Браунфилд,1000,Помещение
"37.250548,55.9774",Аренда,12800,Отсутствует,Браунфилд,115,Помещение
"37.196667,55.585306",Аренда,10600,Отсутствует,Браунфилд,12500,Помещение
"37.623384,55.616015",Аренда,8500,Отсутствует,Браунфилд,100,Помещение
"37.572818,55.525558",Аренда,14400,Отсутствует,Браунфилд,576,Помещение
"37.110007,55.585467",Аренда,8250,Отсутствует,Браунфилд,17000,Помещение
"37.415568,55.38617",Аренда,9000,Отсутствует,Браунфилд,500,Помещение
"37.630975,55.632916",Аренда,9000,Отсутствует,Браунфилд,300,Помещение
"37.27067,55.421501",Аренда,12000,Отсутствует,Браунфилд,565,Помещение
"37.436033,55.675335",Аренда,10000,Отсутствует,Браунфилд,500,Помещение
"37.461716,55.403774",Аренда,1,Отсутствует,Браунфилд,"0,5",Земельный участок
"37.462392,55.402816",Аренда,1,Отсутствует,Браунфилд,"0,9",Земельный участок
"37.807037,55.639951",Аренда,1,Отсутствует,Браунфилд,"0,35",Земельный участок
"37.884923,55.745779",Аренда,1,Отсутствует,Браунфилд,"0,86",Земельный участок
"37.187449,55.319858",Аренда,1,Отсутствует,Браунфилд,1,Земельный участок
"37.582336,55.493668",Аренда,1,Отсутствует,Браунфилд,1,Земельный участок
"37.498258,55.891738",Аренда,1,Отсутствует,Браунфилд,"0,53",Земельный участок
"37.810264,55.637717",Аренда,1,Отсутствует,Браунфилд,"0,38",Земельный участок
"37.11726,55.285811",Аренда,1,Отсутствует,Браунфилд,2,Земельный участок
"37.571272,55.494531",Аренда,1,Отсутствует,Браунфилд,"0,9",Земельный участок
"37.572134,55.495338",Аренда,1,Отсутствует,Браунфилд,"0,95",Земельный участок
"37.065626,55.221964",Аренда,1,Отсутствует,Браунфилд,"3,21",Земельный участок
"37.578512,55.527928",Аренда,1,Отсутствует,Браунфилд,"0,7",Земельный участок
"37.808999,55.637319",Аренда,1,Отсутствует,Браунфилд,"1,5",Земельный участок
"37.457689,55.403021",Аренда,1,Отсутствует,Браунфилд,"0,8",Земельный участок
"37.807309,55.63992",Аренда,1,Отсутствует,Браунфилд,"0,44",Земельный участок
"37.07304,55.21915",Аренда,1,Отсутствует,Браунфилд,"3,5",Земельный участок
"37.518236,55.481613",Аренда,1,Отсутствует,Браунфилд,"2,9",Земельный участок
"37.510973,55.481759",Аренда,1,Отсутствует,Браунфилд,"0,35",Земельный участок
"37.528032,55.485896",Аренда,1,Отсутствует,Браунфилд,"2,3",Земельный участок
"37.462394,55.40747",Аренда,1,Отсутствует,Браунфилд,"2,3",Земельный участок
"37.460741,55.408777",Аренда,1,Отсутствует,Браунфилд,"2,1",Земельный участок
"37.187769,55.324636",Аренда,1,Отсутствует,Браунфилд,"3,5",Земельный участок
"37.328654,55.42935",Аренда,1,Отсутствует,Браунфилд,2,Земельный участок
"37.266526,55.457348",Аренда,1,Отсутствует,Браунфилд,"1,7",Земельный участок
"37.157779,55.99658",Аренда,1,Особая экономическая зона,Браунфилд,"0,52",Земельный участок
"37.158201,55.995874",Аренда,1,Особая экономическая зона,Браунфилд,"0,57",Земельный участок
"37.15863,55.995344",Аренда,1,Особая экономическая зона,Браунфилд,"0,47",Земельный участок
"37.157085,55.994779",Аренда,1,Особая экономическая зона,Браунфилд,"0,45",Земельный участок
"37.265166,55.978716",Аренда,1,Отсутствует,Браунфилд,"0,35",Земельный участок
"37.532197,55.551992",Аренда,1,Отсутствует,Браунфилд,"0,77",Земельный участок
"37.541886,55.912752",Аренда,1,Отсутствует,Браунфилд,"0,45",Земельный участок
"37.686847,55.861655",Аренда,1,Отсутствует,Браунфилд,"0,53",Земельный участок
"37.629084,55.883664",Аренда,1,Отсутствует,Браунфилд,"1,48",Земельный участок
"37.26043,55.611345",Аренда,1,Отсутствует,Браунфилд,"0,42",Земельный участок
"37.360575,55.631321",Аренда,1,Отсутствует,Браунфилд,"2,16",Земельный участок
"37.271561,55.617696",Аренда,1,Отсутствует,Браунфилд,"0,9",Земельный участок
"37.36846,55.654551",Аренда,1,Отсутствует,Браунфилд,"0,35",Земельный участок
"37.93065,55.676493",Аренда,1,Отсутствует,Браунфилд,"0,6",Земельный участок
"37.942051,55.67628",Аренда,1,Отсутствует,Браунфилд,"0,67",Земельный участок
"37.85294,55.707529",Аренда,1,Отсутствует,Браунфилд,"0,49",Земельный участок
"37.63688,55.634955",Аренда,1,Отсутствует,Браунфилд,"0,9",Земельный участок
"37.638575,55.63456",Аренда,1,Отсутствует,Браунфилд,"0,39",Земельный участок
"37.354965,55.826991",Аренда,1,Отсутствует,Браунфилд,"1,4",Земельный участок
"37.164166,56.009894",Аренда,9600,Отсутствует,Гринфилд,1400,Помещение
"37.215298,55.982744",Аренда,1,Отсутствует,Браунфилд,"0,4",Земельный участок
"37.123131,55.323879",Аренда,1,Отсутствует,Браунфилд,1,Земельный участок
"37.925398,55.683635",Аренда,1,Отсутствует,Браунфилд,"2,88",Земельный участок
"37.436948,55.856573",Аренда,14000,Отсутствует,Браунфилд,"251,6",Помещение
"37.436948,55.856573",Аренда,14000,Отсутствует,Браунфилд,"139,1",Помещение
"37.672459,55.720849",Аренда,8300,Отсутствует,Браунфилд,"15,2",Помещение
"37.672459,55.720849",Аренда,9300,Отсутствует,Браунфилд,"52,2",Помещение
"37.672459,55.720849",Аренда,8300,Отсутствует,Браунфилд,"21,5",Помещение
"37.672459,55.720849",Аренда,8300,Отсутствует,Браунфилд,"28,7",Помещение
"37.672459,55.720849",Аренда,8300,Отсутствует,Браунфилд,"27,7",Помещение
"37.672459,55.720849",Аренда,8300,Отсутствует,Браунфилд,66,Помещение
"37.672459,55.720849",Аренда,8300,Отсутствует,Браунфилд,"56,2",Помещение
"37.672459,55.720849",Аренда,8300,Отсутствует,Браунфилд,"27,5",Помещение
"37.672459,55.720849",Аренда,8300,Отсутствует,Браунфилд,"28,8",Помещение
"37.534927,55.921612",Аренда,14400,Отсутствует,Браунфилд,36,Помещение
"37.534927,55.921612",Аренда,21250,Отсутствует,Браунфилд,25,Помещение
"37.534927,55.921612",Аренда,14400,Отсутствует,Браунфилд,32,Помещение
"37.534927,55.921612",Аренда,14400,Отсутствует,Браунфилд,183,Помещение
"37.534927,55.921612",Аренда,14400,Отсутствует,Браунфилд,500,Помещение
"37.534927,55.921612",Аренда,69700,Отсутствует,Браунфилд,82,Помещение
"37.500585,55.786895",Аренда,10000,Отсутствует,Браунфилд,"319,4",Помещение
"37.500585,55.786895",Аренда,10000,Отсутствует,Браунфилд,"407,2",Помещение
"37.500585,55.786895",Аренда,10000,Отсутствует,Браунфилд,"537,8",Помещение
"37.500585,55.786895",Аренда,10000,Отсутствует,Браунфилд,"459,2",Помещение
"37.52271,55.708283",Аренда,15250,Отсутствует,Браунфилд,"39,1",Помещение
"37.52271,55.708283",Аренда,15250,Отсутствует,Браунфилд,"39,4",Помещение
"37.22084,55.98364",Аренда,9000,Отсутствует,Браунфилд,"321,7",Помещение
"37.22084,55.98364",Аренда,10800,Отсутствует,Браунфилд,605,Помещение
"37.22084,55.98364",Аренда,10200,Отсутствует,Браунфилд,222,Помещение
"37.22084,55.98364",Аренда,14400,Отсутствует,Браунфилд,170,Помещение
"37.22084,55.98364",Аренда,10200,Отсутствует,Браунфилд,105,Помещение
"37.22084,55.98364",Аренда,9600,Отсутствует,Браунфилд,226,Помещение
"37.664941,55.752197",Аренда,16800,Отсутствует,Браунфилд,"31,5",Помещение
"37.664941,55.752197",Аренда,16800,Отсутствует,Браунфилд,"32,8",Помещение
"37.664941,55.752197",Аренда,16800,Отсутствует,Браунфилд,"33,6",Помещение
"37.664941,55.752197",Аренда,16800,Отсутствует,Браунфилд,"107,2",Помещение
"37.664941,55.752197",Аренда,16800,Отсутствует,Браунфилд,"32,5",Помещение
"37.664941,55.752197",Аренда,16800,Отсутствует,Браунфилд,"72,2",Помещение
"37.664941,55.752197",Аренда,16800,Отсутствует,Браунфилд,"18,2",Помещение
"37.664941,55.752197",Аренда,16800,Отсутствует,Браунфилд,"18,1",Помещение
"37.664941,55.752197",Аренда,16800,Отсутствует,Браунфилд,"28,5",Помещение
"37.664941,55.752197",Аренда,16800,Отсутствует,Браунфилд,"16,5",Помещение
"37.738054,55.783904",Аренда,12650,Отсутствует,Браунфилд,"856,7",Помещение
"37.738054,55.783904",Аренда,9000,Отсутствует,Браунфилд,"1819,4",Помещение
"37.738054,55.783904",Аренда,12000,Отсутствует,Браунфилд,"224,6",Помещение
"37.738054,55.783904",Аренда,7000,Отсутствует,Браунфилд,"837,9",Помещение
"37.738054,55.783904",Аренда,10450,Отсутствует,Браунфилд,"156,3",Помещение
"37.738054,55.783904",Аренда,7000,Отсутствует,Браунфилд,"499,5",Помещение
"37.738054,55.783904",Аренда,11000,Отсутствует,Браунфилд,378,Помещение
"37.738054,55.783904",Аренда,6300,Отсутствует,Браунфилд,"156,4",Помещение
"37.738054,55.783904",Аренда,13650,Отсутствует,Браунфилд,98,Помещение
"37.738054,55.783904",Аренда,"83,6",Отсутствует,Браунфилд,"83,6",Помещение
"37.721265,55.71019",Аренда,4800,Отсутствует,Браунфилд,2232,Помещение
"37.721265,55.71019",Аренда,4800,Отсутствует,Браунфилд,"1568,4",Помещение
"37.721265,55.71019",Аренда,4800,Отсутствует,Браунфилд,"2007,4",Помещение
"37.721265,55.71019",Аренда,4800,Отсутствует,Браунфилд,"1060,8",Помещение
"37.188753,55.324028",Аренда,1,Отсутствует,Гринфилд,"5,7",Земельный участок
"37.215298,55.982744",Аренда,1,Отсутствует,Гринфилд,"0,82",Земельный участок
"37.464087016616,55.576778431128",Аренда через аукцион,"5132795
",Отсутствует,Гринфилд,"0,6306",Земельный участок
"37.46109217577,55.570737494054",Аренда через аукцион,3398869,Отсутствует,Гринфилд,"0,4108",Земельный участок
"37.462739407854,55.566296930255",Аренда через аукцион,4100449,Отсутствует,Гринфилд,"0,4993",Земельный участок
"37.661690281998,55.889332253906",Аренда через аукцион,"322802
",Отсутствует,Гринфилд,"0,1932",Земельный участок
"37.617644,55.755819",Аренда через аукцион,7793360,Отсутствует,Браунфилд,"376,6",Помещение
"37.465516615369,55.577834428442",Продажа через аукцион,"5175847
",Отсутствует,Гринфилд,"0,6361",Земельный участок
"37.561913,55.689532",Продажа через аукцион,22941000,Отсутствует,Браунфилд,"126,9",Помещение
"37.5289,55.93899",Продажа через аукцион,14824598,Отсутствует,Браунфилд,"117,8",Помещение
"37.511284,55.879571",Продажа через аукцион,17587783,Отсутствует,Браунфилд,"126,9",Помещение
"37.705607,55.886584",Продажа через аукцион,29824618,Отсутствует,Браунфилд,"215,1",Помещение
"37.789914,55.80781",Продажа через аукцион,22230882,Отсутствует,Браунфилд,"144,5",Помещение
"37.529187,55.941027",Продажа через аукцион,32508260,Отсутствует,Браунфилд,"267,8",Помещение
"37.529187,55.941027",Продажа через аукцион,30373291,Отсутствует,Браунфилд,"248,1",Помещение
"37.5289,55.93899",Продажа через аукцион,29002645,Отсутствует,Браунфилд,"250,9",Помещение
"37.818015163546,55.798657425208",Продажа через аукцион,"14878898
",Отсутствует,Браунфилд,"90,5",Помещение
"37.702372088432,55.816516290698",Продажа через аукцион,19943000,Отсутствует,Браунфилд,"326,9",Помещение
"37.58209968951,55.756291287179",Продажа через аукцион,18922000,Отсутствует,Браунфилд,"155,8",Помещение
"37.610212593453,55.857421240835",Продажа через аукцион,35234000,Отсутствует,Браунфилд,"1080,4",Помещение
"37.571355009564,55.786319583091",Продажа через аукцион,6398000,Отсутствует,Браунфилд,"101,1",Помещение
"37.607800734758,55.724731477424",Продажа через аукцион,9833000,Отсутствует,Браунфилд,121,Помещение
"37.51556999028,55.801349605463",Продажа через аукцион,16303000,Отсутствует,Браунфилд,"282,8",Помещение
"37.640484544956,55.814648918977",Продажа через аукцион,12131000,Отсутствует,Браунфилд,105,Помещение
"37.494415329529,55.808578841191",Продажа через аукцион,12108000,Отсутствует,Браунфилд,"133,6",Помещение
"37.680559821015,55.772601517691",Продажа через аукцион,14328000,Отсутствует,Браунфилд,"144,8",Помещение
"37.523452653885,55.786538477545",Продажа через аукцион,23599000,Отсутствует,Браунфилд,"136,2",Помещение
"37.764432717045,55.799075687486",Продажа через аукцион,9568529,Отсутствует,Браунфилд,"58,2",Помещение
"37.541158773058,55.684357440975",Продажа через аукцион,120769000,Отсутствует,Браунфилд,678,Помещение
"37.599426234332,55.764585865782",Продажа через аукцион,15574000,Отсутствует,Браунфилд,"72,5",Помещение
"37.493506213151,55.681581672668",Продажа через аукцион,9968000,Отсутствует,Браунфилд,"41,4",Помещение
"37.676493737592,55.770805654062",Продажа через аукцион,19953000,Отсутствует,Браунфилд,270,Помещение
"37.418279935493,55.743520561348",Продажа через аукцион,296000,Отсутствует,Браунфилд,"3,3",Помещение
"37.418342573093,55.743537325106",Продажа через аукцион,287000,Отсутствует,Браунфилд,"3,2",Помещение
"37.418417665746,55.743531938551",Продажа через аукцион,603000,Отсутствует,Браунфилд,"6,4",Помещение
"37.418279434255,55.743546598637",Продажа через аукцион,480000,Отсутствует,Браунфилд,"5,1",Помещение
"37.418299331665,55.743518474327",Продажа через аукцион,490000,Отсутствует,Браунфилд,"5,2",Помещение
"37.643523117186,55.834596306011",Продажа через аукцион,6673000,Отсутствует,Браунфилд,"127,8",Помещение
"37.359064,55.774781",Продажа через аукцион,707000,Отсутствует,Браунфилд,"8,4",Помещение
"37.561913,55.689532",Продажа через аукцион,22941000,Отсутствует,Браунфилд,"126,9",Помещение
"37.551223,55.874112",Продажа через аукцион,6550000,Отсутствует,Браунфилд,"58,6",Помещение
"37.694711,55.795712",Продажа через аукцион,4611000,Отсутствует,Браунфилд,"28,5",Помещение
"37.411894,55.71699",Продажа через аукцион,11918000,Отсутствует,Браунфилд,"66,8",Помещение
"37.781802,55.715139",Продажа через аукцион,14334000,Отсутствует,Браунфилд,"108,6",Помещение
"37.358256,55.849226",Продажа через аукцион,4936000,Отсутствует,Браунфилд,27,Помещение
"37.661689,55.829102",Продажа через аукцион,3692000,Отсутствует,Браунфилд,"41,4",Помещение
"37.615713,55.76879",Продажа через аукцион,16220000,Отсутствует,Браунфилд,"188,1",Помещение
"37.651789,55.760145",Продажа через аукцион,9746000,Отсутствует,Браунфилд,"143,8",Помещение
"37.819981,55.724631",Продажа через аукцион,34270000,Отсутствует,Браунфилд,"268,7",Помещение
"37.660952,55.748458",Продажа через аукцион,20586000,Отсутствует,Браунфилд,"82,6",Помещение
"37.617644,55.755819",Продажа через аукцион,10209000,Отсутствует,Браунфилд,"70,1",Помещение
"37.635269,55.768618",Продажа через аукцион,32443200,Отсутствует,Браунфилд,"181,9",Помещение
"37.479789,55.78932",Продажа через аукцион,40801000,Отсутствует,Браунфилд,"196,9",Помещение
"37.594423,55.774345",Продажа через аукцион,15866000,Отсутствует,Браунфилд,"77,4",Помещение
"37.555481,55.662948",Продажа через аукцион,7021000,Отсутствует,Браунфилд,"30,4",Помещение
"37.659982,55.713867",Продажа через аукцион,35825000,Отсутствует,Браунфилд,"273,7",Помещение
"37.65673,55.851662",Продажа через аукцион,4159000,Отсутствует,Браунфилд,"23,3",Помещение
"37.665129,55.861247",Продажа через аукцион,13837269,Отсутствует,Браунфилд,"78,2",Помещение
"37.577939,55.651399",Продажа через аукцион,15135439,Отсутствует,Браунфилд,"83,7",Помещение
"37.71689,55.729346",Продажа через аукцион,18726636,Отсутствует,Браунфилд,"135,8",Помещение
"37.71689,55.729346",Продажа через аукцион,19319621,Отсутствует,Браунфилд,"140,1",Помещение
"37.71689,55.729346",Продажа через аукцион,20864087,Отсутствует,Браунфилд,"151,3",Помещение
"37.71689,55.729346",Продажа через аукцион,25025211,Отсутствует,Браунфилд,"181,7",Помещение
"37.71689,55.729346",Продажа через аукцион,15141287,Отсутствует,Браунфилд,"109,8",Помещение
"37.71689,55.729346",Продажа через аукцион,16065209,Отсутствует,Браунфилд,"116,5",Помещение
